transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,payment_status,source,email_masked,phone_masked,revenue,year,month,month_name,quarter,day_of_week,is_weekend
17,570,Donald Carter,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-19,3,NetBanking,0.15,successful,retail_data1,fac4dcc8ab7348aa83d9,635c73bb511bca239f7a,178500.0,2025,5,May,2,Monday,False
18,973,Allen Gilbert,108,15000.0,Mixer Grinder,Home Appliances,offline,Mumbai,2025-05-15,2,Card,0.15,successful,retail_data1,75bd6f84632b1688ccf5,02b722bed4218d73bf19,25500.0,2025,5,May,2,Thursday,False
19,786,Jeremiah Simmons,103,1300.0,Shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,successful,retail_data1,831c6126f8a1de713d86,ad8de5094b67ef8577ce,4160.0,2025,9,Sep,3,Sunday,True
20,576,Angela Weiss,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-05,1,Card,0.15,successful,retail_data1,25a9d1c837f4bf2812bc,9a33d413cd448529c87b,6800.0,2025,7,Jul,3,Saturday,True
21,256,Nicole Williams,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,successful,retail_data1,23f282bd744c97705ad2,cb898741e772468d6f8f,185250.0,2025,12,Dec,4,Wednesday,False
22,737,Kimberly Lloyd,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,successful,retail_data1,f804854d80f8e7b8282b,599e039f18b801498ced,156000.0,2025,3,Mar,1,Tuesday,False
23,104,Amanda Castillo,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,successful,retail_data1,5e6f5536a427d3fbd6ea,3c9c0c7607f6a92890ab,22500.0,2026,4,Apr,2,Wednesday,False
24,799,Stephanie Dunn,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-05-16,3,Cash,0.25,successful,retail_data1,08194ee6d135d934e7d0,d3b28f8104fc4e475c06,33750.0,2025,5,May,2,Friday,False
25,249,Alyssa Henderson,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,successful,retail_data1,e85a7a09d6dca5929883,06b3f2dc3a3ab5d253cf,49000.0,2025,8,Aug,3,Friday,False
26,149,Ashley Mejia,106,80000.0,Sofa,Furniture,offline,Chennai,2026-01-28,1,Cash,0.05,successful,retail_data1,8318efc7a721b12bf05c,5672302697ad06768432,76000.0,2026,1,Jan,1,Wednesday,False
27,927,Bradley Sparks,105,45000.0,Tv,Electronics,offline,Chennai,2025-11-13,5,UPI,0.2,successful,retail_data1,a024997c5651f4411537,392b91b71efff7adb719,180000.0,2025,11,Nov,4,Thursday,False
28,868,Timothy Henderson,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,successful,retail_data1,f1b5203b101f9022599b,a9d4fdbcbb3250278caf,35000.0,2025,11,Nov,4,Wednesday,False
29,1,Karen Pollard,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2025-06-28,2,Card,0.3,successful,retail_data1,38878d194d81226c14a1,057464a3d6737ba91d80,91000.0,2025,6,Jun,2,Saturday,True
30,980,Alexis Andrews,106,80000.0,Sofa,Furniture,online,Delhi,2025-07-10,5,Card,0.05,successful,retail_data1,ee79682e79ab757b458c,9aea4c2e9a139fcdc039,380000.0,2025,7,Jul,3,Thursday,False
31,455,Morgan Wright,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-03,4,NetBanking,0.3,successful,retail_data1,021fdd12229b1dccb0b4,9c7aea34b52d861e87b3,140000.0,2025,6,Jun,2,Tuesday,False
32,367,Joshua Tate,105,45000.0,Tv,Electronics,offline,Delhi,2025-11-14,4,Cash,0.4,successful,retail_data1,ab0006ae0a752b7d16e4,8847e110d43431a20671,108000.0,2025,11,Nov,4,Friday,False
34,968,Keith Davis,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-09,4,Cash,0.15,successful,retail_data1,7200b56e33ad623e51c3,5680a1d6e5875d702bea,170000.0,2025,11,Nov,4,Sunday,True
35,390,Erika Knight,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-05-25,2,Card,0.1,successful,retail_data1,002e230a14753479faa5,ba2264ca3af50d73ff8e,81000.0,2025,5,May,2,Sunday,True
36,528,Kerri Rodriguez,102,70000.0,Phone,Electronics,offline,Chennai,2025-07-19,2,NetBanking,0.1,successful,retail_data1,8c51fb1e34f92f845932,29f186f2b93c4bb91810,126000.0,2025,7,Jul,3,Saturday,True
37,46,Mallory Boyd,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-07,3,UPI,0.1,successful,retail_data1,759d457bc51908908264,cd52c558352dfb8f54e9,3510.0,2026,1,Jan,1,Wednesday,False
38,437,Carrie Landry,104,8000.0,Shoes,Clothing,offline,Delhi,2026-01-21,1,Cash,0.25,successful,retail_data1,fe3c471c23522b47421d,b1d0ae3c847f43354550,6000.0,2026,1,Jan,1,Wednesday,False
39,234,Kristin Taylor,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-01,1,Cash,0.1,successful,retail_data1,495666da97215ae82318,8f0d574133481cf3617e,7200.0,2025,12,Dec,4,Monday,False
40,391,Catherine Beard,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-08-03,2,NetBanking,0.3,successful,retail_data1,9f58d044673af925ce04,28453001838edaa7a489,1820.0,2026,8,Aug,3,Monday,False
41,743,Dorothy Davis,103,1300.0,Shirt,Clothing,online,Delhi,2025-12-22,3,NetBanking,0.1,successful,retail_data1,21b9256b2dc4eaec4059,849628b8c21a43632eed,3510.0,2025,12,Dec,4,Monday,False
42,17,Duane Hall,105,45000.0,Tv,Electronics,online,Bangalore,2025-07-11,2,Cash,0.3,successful,retail_data1,ebb6c6dfe3b541831f15,a1e618c2bc197b04f62a,63000.0,2025,7,Jul,3,Friday,False
43,861,Tim Brock,105,45000.0,Tv,Electronics,offline,Bangalore,2025-05-26,5,Card,0.4,successful,retail_data1,ad972f3e86af2111d6d9,0f6f048b2edc1f74f86d,135000.0,2025,5,May,2,Monday,False
44,213,Nancy Lee,104,8000.0,Shoes,Clothing,offline,Hyderabad,2025-05-14,3,Card,0.25,successful,retail_data1,839a63fef735376c205b,32da3444d7d9b47e1d28,18000.0,2025,5,May,2,Wednesday,False
45,220,Maria Walker,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-11-23,4,Cash,0.15,successful,retail_data1,c76ab918524edd26ba90,625288c1abbafea8e964,27200.0,2025,11,Nov,4,Sunday,True
46,463,Kevin Cruz,104,8000.0,Shoes,Clothing,online,Delhi,2025-04-27,5,UPI,0.1,successful,retail_data1,82517fa8d5c87d23de33,9e05cc5ee8c0e8eacc42,36000.0,2025,4,Apr,2,Sunday,True
47,429,Michael Welch,101,250000.0,Laptop,Electronics,offline,Delhi,2025-08-27,4,NetBanking,0.1,successful,retail_data1,29eb9dae4c5607e26afe,859f89d7501173142ccc,900000.0,2025,8,Aug,3,Wednesday,False
48,222,Emily Hernandez,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-07-11,1,Cash,0.25,successful,retail_data1,36cb6b29605f90a28532,bb0aca450b3f7f72e929,11250.0,2025,7,Jul,3,Friday,False
49,971,Larry Ramos,103,1300.0,Shirt,Clothing,offline,Chennai,2025-07-10,5,UPI,0.2,successful,retail_data1,2cdff5bb460296020781,1d1088fa56e1dadd5dd3,5200.0,2025,7,Jul,3,Thursday,False
50,670,Fernando Kelly,106,80000.0,Sofa,Furniture,offline,Chennai,2025-05-31,5,UPI,0.15,successful,retail_data1,1dda34f3a8c9ce952c56,678d32ceba3e8478cba9,340000.0,2025,5,May,2,Saturday,True
51,485,James Harris,107,50000.0,Dining Table,Furniture,online,Delhi,2025-07-12,2,Card,0.1,successful,retail_data1,b4add930b3e517d8f0b5,da1152cb8dbfb9e9d20f,90000.0,2025,7,Jul,3,Saturday,True
52,883,Charles David,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-17,1,Card,0.4,successful,retail_data1,6c164b15e77002bde0c0,2462c8aa17751499a65c,4800.0,2025,7,Jul,3,Thursday,False
53,202,Amanda Reed,103,1300.0,Shirt,Clothing,offline,Delhi,2025-11-03,1,Card,0.15,successful,retail_data1,31a58b7cecbfb6d45a52,fcca50d3b6df082a9634,1105.0,2025,11,Nov,4,Monday,False
54,817,Nicole Ross,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-07-25,3,Cash,0.25,successful,retail_data1,aab66299ef9b27e20d47,b9d20115b7d80c22ffdd,112500.0,2025,7,Jul,3,Friday,False
55,801,Brandi Bryan,104,8000.0,Shoes,Clothing,online,Delhi,2025-10-01,5,UPI,0.3,successful,retail_data1,178c5a79c6e78d2eda89,6be4056b5a1b1e1dd04e,28000.0,2025,10,Oct,4,Wednesday,False
56,284,Erin Richmond,104,8000.0,Shoes,Clothing,offline,Chennai,2026-02-20,2,NetBanking,0.4,successful,retail_data1,d8ab4780a03f23d4999c,cdf356bdde924eff7f9f,9600.0,2026,2,Feb,1,Friday,False
57,72,Michael Wood,105,45000.0,Tv,Electronics,online,Chennai,2025-12-31,5,Cash,0.2,successful,retail_data1,b94c1522b70d47f00abc,9a20b72177b36730f46c,180000.0,2025,12,Dec,4,Wednesday,False
58,873,Tracy Bass,101,250000.0,Laptop,Electronics,offline,Hyderabad,2025-10-28,3,UPI,0.15,successful,retail_data1,0316e141aed4d0c833de,ecfc0b54fbf3ea3ed67f,637500.0,2025,10,Oct,4,Tuesday,False
59,854,Dennis Dorsey,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2025-07-13,3,NetBanking,0.15,successful,retail_data1,e42e15768da2a9b674df,a7c3f4b27e20d415cdb7,38250.0,2025,7,Jul,3,Sunday,True
60,874,Samuel Patel,106,80000.0,Sofa,Furniture,offline,Mumbai,2025-05-20,5,UPI,0.25,successful,retail_data1,353296568ff9fab18059,33bf81d47c55460e13be,300000.0,2025,5,May,2,Tuesday,False
61,507,Thomas Cameron,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-23,2,Cash,0.3,successful,retail_data1,d1a3662414787e46f75a,eeae54ba1657b4e24736,11200.0,2025,12,Dec,4,Tuesday,False
62,736,Lisa Lee,104,8000.0,Shoes,Clothing,offline,Delhi,2025-06-07,4,NetBanking,0.05,successful,retail_data1,47274124ed6cea6f7e30,ebfc8fb9e5fc53f3caf5,30400.0,2025,6,Jun,2,Saturday,True
63,182,Kathleen Castro,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2026-02-25,5,NetBanking,0.35,successful,retail_data1,b968291086a95323d5bb,b72483a9cf60cd853b5d,162500.0,2026,2,Feb,1,Wednesday,False
64,341,Cory Alvarado,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-12-14,3,NetBanking,0.1,successful,retail_data1,6dba4c70a461d0ad3d43,e1a080d2cba98971f754,121500.0,2025,12,Dec,4,Sunday,True
65,937,Nicole Woods,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-04-22,2,NetBanking,0.25,successful,retail_data1,222801174f3e68d9dba2,bcc848ca3f025e917bf3,22500.0,2025,4,Apr,2,Tuesday,False
66,164,Shawn Stewart,104,8000.0,Shoes,Clothing,offline,Chennai,2025-04-16,2,Card,0.3,successful,retail_data1,b49023f0bee370414cd5,2f0f3e3a0481f3f805b3,11200.0,2025,4,Apr,2,Wednesday,False
67,188,Allison Oliver,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-04-04,3,Cash,0.3,successful,retail_data1,439c379db3104f1775b7,e3dc8ed21e80085bd501,136500.0,2026,4,Apr,2,Saturday,True
68,603,Shawn Roberson,104,8000.0,Shoes,Clothing,offline,Chennai,2025-09-30,4,Card,0.15,successful,retail_data1,9d472fcd9bd2f759c005,09ae247bb9b2dd4e23c1,27200.0,2025,9,Sep,3,Tuesday,False
69,656,Adam White,104,8000.0,Shoes,Clothing,online,Hyderabad,2025-08-29,1,NetBanking,0.1,successful,retail_data1,448ef813a5248beb5d33,35c3a4d6a9aeb9229556,7200.0,2025,8,Aug,3,Friday,False
70,687,Robert Estrada,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2026-04-05,1,UPI,0.1,successful,retail_data1,c3247b8e7d93f1817775,0b01794068809d3d4a04,40500.0,2026,4,Apr,2,Sunday,True
71,186,Dawn Garrett,105,45000.0,Tv,Electronics,offline,Chennai,2026-01-23,2,Card,0.3,successful,retail_data1,79680eda3b6a449222dc,ef431d14d1e47d62789b,63000.0,2026,1,Jan,1,Friday,False
72,865,Jessica Patterson,102,70000.0,Phone,Electronics,online,Hyderabad,2026-04-07,1,UPI,0.2,successful,retail_data1,e3592139e35c685053cf,40b1f41f8295afde585d,56000.0,2026,4,Apr,2,Tuesday,False
73,523,Emily Cohen,101,250000.0,Laptop,Electronics,offline,Chennai,2026-03-09,4,Card,0.1,successful,retail_data1,4bea21dfb692c8467a96,2381dee77ad7683692a6,900000.0,2026,3,Mar,1,Monday,False
75,729,Elizabeth Hunt,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-08-10,1,NetBanking,0.1,successful,retail_data1,1ec3d340009a49b7bef5,caae25006df394aba2ce,13500.0,2025,8,Aug,3,Sunday,True
78,874,Samuel Patel,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-06-11,4,Cash,0.1,successful,retail_data1,353296568ff9fab18059,33bf81d47c55460e13be,28800.0,2025,6,Jun,2,Wednesday,False
79,977,Gloria Navarro,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-16,5,UPI,0.3,successful,retail_data1,57a55b9550f75bc8de4f,8cd89c30357f2d632754,245000.0,2025,5,May,2,Friday,False
80,735,Elizabeth Kemp,108,15000.0,Mixer Grinder,Home Appliances,online,Bangalore,2025-06-20,5,Cash,0.05,successful,retail_data1,5477286d77cee4d02f0f,edd2ba0935f75ebe874f,71250.0,2025,6,Jun,2,Friday,False
81,704,Susan Thomas,107,50000.0,Dining Table,Furniture,offline,Chennai,2026-04-14,5,UPI,0.25,successful,retail_data1,d0eaa2e61d6d7ea439ef,bf861df10eb46dca0c8e,187500.0,2026,4,Apr,2,Tuesday,False
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,successful,retail_data1,d3a60d71674bec4b1767,cfe7ede6f433d30c3442,600000.0,2025,6,Jun,2,Wednesday,False
83,11,James Leblanc,110,45000.0,Microwave,Home Appliances,online,Delhi,2025-06-28,3,NetBanking,0.2,successful,retail_data1,94996625068723cbf9e8,152119391fcdcfd89d3c,108000.0,2025,6,Jun,2,Saturday,True
84,379,Andres Stokes,105,45000.0,Tv,Electronics,offline,Mumbai,2025-11-07,5,UPI,0.2,successful,retail_data1,59712e06dd3e791240c4,83741cc7faeff32f4150,180000.0,2025,11,Nov,4,Friday,False
85,108,Andrew Vazquez,101,250000.0,Laptop,Electronics,online,Delhi,2025-08-30,5,Card,0.1,successful,retail_data1,c301911d36f42b7a026a,1284840c964ac6522d16,1125000.0,2025,8,Aug,3,Saturday,True
86,427,Kelly Mccormick,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-09,4,NetBanking,0.05,successful,retail_data1,726f2bf24a40a3b4a330,8dd4915d4a2629c43c70,4940.0,2026,1,Jan,1,Friday,False
87,454,Larry Perkins,102,70000.0,Phone,Electronics,offline,Mumbai,2025-11-04,1,Cash,0.15,successful,retail_data1,716eaa87d41bd6c37ac8,fe4a5baf30c4c39ae804,59500.0,2025,11,Nov,4,Tuesday,False
88,975,Jacqueline Doyle,110,45000.0,Microwave,Home Appliances,online,Hyderabad,2026-02-02,3,Card,0.2,successful,retail_data1,afc12ad7c2b1d3b34e95,66f305b8d02804f64ad0,108000.0,2026,2,Feb,1,Monday,False
89,992,William Rose,107,50000.0,Dining Table,Furniture,online,Hyderabad,2025-12-20,5,Cash,0.15,successful,retail_data1,0d1e8c8c55df93f60243,663bd4cd966fd4562ac5,212500.0,2025,12,Dec,4,Saturday,True
90,439,Billy James,102,70000.0,Phone,Electronics,offline,Mumbai,2026-03-24,3,Card,0.4,successful,retail_data1,dcdeb9afe38eed030297,8465f5c42026da4e201b,126000.0,2026,3,Mar,1,Tuesday,False
91,645,Joshua Burton,102,70000.0,Phone,Electronics,offline,Mumbai,2026-01-05,1,Cash,0.4,successful,retail_data1,be43f314624b421feccb,448e385b7bedfd77ac35,42000.0,2026,1,Jan,1,Monday,False
92,728,Lisa Miller,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2026-03-28,1,NetBanking,0.05,successful,retail_data1,4fdac8377bcedb28f81b,c2612d0a443e7a1c930b,14250.0,2026,3,Mar,1,Saturday,True
93,403,Taylor Ellison,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,5,UPI,0.15,successful,retail_data1,79aac7227a9c2ca2174b,13c9ee5acf1428e2be77,297500.0,2025,12,Dec,4,Tuesday,False
94,50,Stacey Henderson,104,8000.0,Shoes,Clothing,online,Mumbai,2025-02-11,4,Cash,0.25,successful,retail_data1,12a13a49dea01990cf59,9d2978f8f69a68a34460,24000.0,2025,2,Feb,1,Tuesday,False
95,478,Crystal Mejia,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-18,1,Cash,0.4,successful,retail_data1,9e78e9a427724dd07dc6,1489eeb1f7fbec423481,30000.0,2025,7,Jul,3,Friday,False
96,153,Stephanie Hanna,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2025-12-27,1,Card,0.15,successful,retail_data1,81d76d5fc5a56873d2e2,d452444d06222179c183,38250.0,2025,12,Dec,4,Saturday,True
98,372,Brandon Gordon,105,45000.0,Tv,Electronics,offline,Mumbai,2025-10-31,5,UPI,0.15,successful,retail_data1,735517cb6ffef86351d2,3da77091000fc95d76cf,191250.0,2025,10,Oct,4,Friday,False
99,753,Kelly Ball,102,70000.0,Phone,Electronics,online,Delhi,2025-10-07,3,Card,0.15,successful,retail_data1,641a1e390bd1eaab1e00,259e96630feff1a54634,178500.0,2025,10,Oct,4,Tuesday,False
100,864,Cameron Black,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-04-20,1,UPI,0.15,successful,retail_data1,f842de5fc6e0b75b586d,bcd6f7547010985038f9,55250.0,2025,4,Apr,2,Sunday,True
101,645,Joshua Burton,102,70000.0,Phone,Electronics,online,Mumbai,2026-02-19,1,Card,0.25,successful,retail_data1,be43f314624b421feccb,448e385b7bedfd77ac35,52500.0,2026,2,Feb,1,Thursday,False
102,1000,Shannon Haley,103,1300.0,Shirt,Clothing,online,Bangalore,2025-05-30,3,NetBanking,0.15,successful,retail_data1,0afe9899b036930f0c3c,9bccb992ef15f6c32a34,3315.0,2025,5,May,2,Friday,False
103,909,Jacqueline Frye,105,45000.0,Tv,Electronics,online,Chennai,2025-09-05,3,Cash,0.35,successful,retail_data1,b7bc3ad91c34dcb74761,f2a38b47a66e8999b91e,87750.0,2025,9,Sep,3,Friday,False
104,788,William Wright,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-30,2,UPI,0.15,successful,retail_data1,9549234d8c813d49d920,d61e040b4d324af4e036,85000.0,2025,6,Jun,2,Monday,False
105,713,Jason Griffin,107,50000.0,Dining Table,Furniture,online,Hyderabad,2026-02-26,1,NetBanking,0.05,successful,retail_data1,33d0498fc058e1f019e9,cfb3b397b6f4fd8b2b9c,47500.0,2026,2,Feb,1,Thursday,False
106,54,Jessica Hernandez,105,45000.0,Tv,Electronics,offline,Hyderabad,2026-02-27,2,Card,0.05,successful,retail_data1,c2484578a36fec04c41a,39d75dfca19354660321,85500.0,2026,2,Feb,1,Friday,False
107,89,Joseph Davis,106,80000.0,Sofa,Furniture,offline,Hyderabad,2025-03-09,4,UPI,0.35,successful,retail_data1,8ad46431983c9a027829,d1095ad71da3bd1a7bc0,208000.0,2025,3,Mar,1,Sunday,True
108,724,Kimberly Winters,103,1300.0,Shirt,Clothing,offline,Chennai,2025-06-22,4,Card,0.35,successful,retail_data1,0ff3b92ed6c76c752922,663f4479d76848d58d46,3380.0,2025,6,Jun,2,Sunday,True
109,128,Ethan Porter,104,8000.0,Shoes,Clothing,online,Bangalore,2026-02-03,3,Card,0.2,successful,retail_data1,f5ce7c8c8577bd2d49c3,0e23edc3abd2ffdcdec0,19200.0,2026,2,Feb,1,Tuesday,False
110,264,Kelli Johnson,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-08-25,2,Cash,0.2,successful,retail_data1,3aaa6ae0a7b9a1c8b631,514c2131bdc9dc8828b4,80000.0,2025,8,Aug,3,Monday,False
111,637,Kevin King,106,80000.0,Sofa,Furniture,online,Bangalore,2026-02-18,5,Cash,0.1,successful,retail_data1,ac31a7e7c3c2abae18e6,41521125ef853d2551ad,360000.0,2026,2,Feb,1,Wednesday,False
112,381,Melissa Garza,102,70000.0,Phone,Electronics,offline,Hyderabad,2025-09-14,1,Cash,0.15,successful,retail_data1,1fa83948db38c630f4d5,32784bc4689ee00af996,59500.0,2025,9,Sep,3,Sunday,True
113,286,Carmen Sanders,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-01-12,4,NetBanking,0.4,successful,retail_data1,6ef7c793400361653d62,0e88ec1e5f852ecc6a1a,36000.0,2026,1,Jan,1,Monday,False
114,484,Eric Cabrera,101,250000.0,Laptop,Electronics,online,Bangalore,2025-04-07,3,NetBanking,0.25,successful,retail_data1,45372231041cad0024d5,6aa976cf9d10ca75f3c6,562500.0,2025,4,Apr,2,Monday,False
115,270,Katherine Shaw,107,50000.0,Dining Table,Furniture,online,Chennai,2025-12-16,1,Card,0.1,successful,retail_data1,b546e74e4328f076edb6,299b7ba0fa4f7230a69f,45000.0,2025,12,Dec,4,Tuesday,False
116,756,Juan Mata,103,1300.0,Shirt,Clothing,online,Bangalore,2025-11-22,4,NetBanking,0.2,successful,retail_data1,0e08248b1952bf56f12a,d041c1ae661385e11ee6,4160.0,2025,11,Nov,4,Saturday,True
117,937,Nicole Woods,107,50000.0,Dining Table,Furniture,online,Mumbai,2025-07-28,4,NetBanking,0.35,successful,retail_data1,222801174f3e68d9dba2,bcc848ca3f025e917bf3,130000.0,2025,7,Jul,3,Monday,False
118,206,Kevin Cox,105,45000.0,Tv,Electronics,online,Chennai,2025-04-18,1,UPI,0.4,successful,retail_data1,a01b0cad44d64b4720ba,828ce0e25016fd874b99,27000.0,2025,4,Apr,2,Friday,False
119,822,Christine Rivera,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-02-24,2,NetBanking,0.25,successful,retail_data1,c42738025f906498b431,25483c90970ff77a4d3a,375000.0,2026,2,Feb,1,Tuesday,False
120,618,Alan Torres,110,45000.0,Microwave,Home Appliances,offline,Chennai,2025-09-23,5,Card,0.25,successful,retail_data1,3c4a253fedb370c969f1,0febda905067e694d076,168750.0,2025,9,Sep,3,Tuesday,False
121,175,Shelby Casey,109,65000.0,Refrigerator,Home Appliances,offline,Hyderabad,2025-05-30,1,Card,0.25,successful,retail_data1,21103ec3c0d1709b8b2b,6881a99ec3d4483095f6,48750.0,2025,5,May,2,Friday,False
122,549,Jacob Hopkins,102,70000.0,Phone,Electronics,online,Bangalore,2025-05-17,4,Cash,0.15,successful,retail_data1,7063f8908f5430c614b4,cd67a683435bd87fff2e,238000.0,2025,5,May,2,Saturday,True
123,387,Kenneth Rocha,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-06-30,5,UPI,0.3,successful,retail_data1,f42d5e3c5f55e537502d,e4c7ac1a7eae41464640,157500.0,2025,6,Jun,2,Monday,False
124,592,Timothy Medina,104,8000.0,Shoes,Clothing,offline,Delhi,2026-03-04,3,Card,0.35,successful,retail_data1,cd9282215d61733f3e44,6a6f2fbacfa8d1dadf2b,15600.0,2026,3,Mar,1,Wednesday,False
